S.No,Disease,Symptoms,Treatment,Medicine,Treatment Duration,Medicine Duration
1269,Itching,"Skin irritation, redness","Antihistamines, moisturizers","Cetirizine, Calamine lotion",3–7 days,3–5 days
1270,Dry Skin,"Flaky skin, tightness",Moisturizers,"Petroleum jelly, Emollients",Ongoing,Ongoing
1271,Ear Pain,"Throbbing pain, discharge","Ear drops, antibiotics (if infected)",Ciprofloxacin drops,5–7 days,5–7 days
1272,Eye Irritation,"Redness, itching",Eye drops,Artificial tears,3–5 days,As needed
1273,Fatigue,"Tiredness, weakness","Adequate sleep, nutrition","Vitamin B12, Iron supplements",1–2 weeks,2–4 weeks
1274,Insomnia,Difficulty sleeping,Sleep hygiene,"Melatonin, Zolpidem",1–2 weeks,5–10 days
1275,Sneezing,Sudden expulsion of air,Antihistamines,"Levocetirizine, Cetirizine",1–3 days,1–3 days
1276,Allergies,"Sneezing, rashes","Avoid allergen, antihistamines","Loratadine, Fexofenadine",1–2 weeks,5–7 days
1277,Heartburn,Burning chest sensation,"Antacids, lifestyle changes","Pantoprazole, Omeprazole",1–2 weeks,5–10 days
1278,Breathlessness,Shortness of breath,"Inhalers, steam","Salbutamol, Levosalbutamol",As needed,3–5 days or ongoing
1279,Cold Sores,Blisters near lips,Antiviral cream,Acyclovir cream,5–7 days,5–7 days
1280,Skin Rashes,"Red patches, itching",Topical creams,"Hydrocortisone, Antihistamines",3–7 days,3–5 days
1281,Weakness,Lack of energy,"Balanced diet, rest","Multivitamins, Iron",1–2 weeks,2–4 weeks
1282,Hiccups,Involuntary sound from diaphragm,Water intake,Baclofen (if persistent),Few minutes to days,3–5 days if needed
1283,Bleeding Gums,Gum bleeding while brushing,Oral hygiene,Chlorhexidine mouthwash,1–2 weeks,7–10 days
1284,Night Sweats,Sweating at night,Lifestyle changes,Hormone therapy (if needed),Varies,As prescribed
1285,Cold Hands/Feet,"Numbness, chill",Warm clothing,Nifedipine (if vascular cause),Seasonal,1–2 weeks
1286,Hair Fall,"Hair thinning, hair loss","Hair oils, diet",Minoxidil,3–6 months,3–6 months
1287,Sunburn,"Red, peeling skin","Aloe vera gel, sunscreen",Calamine lotion,3–5 days,As needed
1288,Vomiting,"Nausea, expelling contents",Anti-emetics,"Ondansetron, Domperidone",1–2 days,1–3 days
1289,Eye Strain,"Dryness, blurred vision",Rest eyes,Artificial tears,1–3 days,As needed
1290,Tired Eyes,"Fatigue, blurry vision",Proper lighting,Lubricating drops,1–3 days,As needed
1291,Nail Infection,"Thickened, yellow nails",Antifungal cream,"Clotrimazole, Terbinafine",2–4 weeks,2–4 weeks
1292,Sleepiness,Excess drowsiness,Sleep routine,Modafinil (rarely used),Ongoing,As prescribed
1293,Irritability,"Mood swings, frustration","Relaxation, counseling",Vitamin B complex,1–2 weeks,2–4 weeks
1294,Swelling,"Puffy area, pain",Cold compress,Ibuprofen,1–3 days,1–3 days
1295,Cracked Heels,"Dry, painful heel skin",Moisturizers,Urea cream,1–2 weeks,1–2 weeks
1296,Dark Circles,Pigmentation under eyes,"Sleep, cold compress",Vitamin C serum,2–4 weeks,2–4 weeks
1297,Puffy Eyes,Swollen eyelids,"Reduce salt, rest",Caffeine eye cream,1–3 days,1–2 weeks
1298,Skin Peeling,"Flaky skin, dryness",Moisturizers,Emollient creams,1–2 weeks,1–2 weeks
1299,Itchy Scalp,"Flaky, irritated scalp",Anti-dandruff shampoo,Ketoconazole,2–4 weeks,2–3 weeks
1300,Dry Mouth,"Stickiness, thirst","Hydration, chewing gum",Saliva substitutes,As needed,As needed
1301,Heat Rash,"Red bumps, itchiness","Cooling the skin, loose clothing",Calamine lotion,2–5 days,3–5 days
1302,Nail Fungal Infection,"Discolored, brittle nails",Antifungal creams,Clotrimazole,2–4 weeks,2–4 weeks
1303,Scalp Dandruff,"Itchy, flaky scalp",Medicated shampoos,"Ketoconazole, Zinc pyrithione",2–4 weeks,2–3 weeks
1304,Mouth Ulcers,Painful sores in the mouth,"Salt water rinse, gels",Benzocaine gel,3–7 days,3–5 days
1305,Eye Strain,"Dryness, discomfort","Rest eyes, eye drops",Artificial tears,1–3 days,As needed
1306,Excess Sweating,"Wet palms, sweating",Antiperspirants,Aluminium chloride,Ongoing,Ongoing
1307,Minor Cuts,"Bleeding, skin breaks","Cleaning, antiseptics","Betadine, Neosporin",3–5 days,3–5 days
1308,Minor Burns,"Redness, blisters",Cold compress,Silver sulfadiazine cream,5–7 days,5–7 days
1309,Bug Bites,"Itchy, red bumps",Anti-itch creams,Hydrocortisone cream,2–5 days,2–5 days
1310,Flatulence,"Gas, bloating",Dietary changes,Simethicone,2–5 days,As needed
1311,Nose Bleeds,Bleeding from nostrils,Cold compress,Nasal ointment,Few minutes to 1 day,1–3 days
1312,Motion Sickness,"Nausea, dizziness",Anti-emetics,"Meclizine, Dimenhydrinate",Short-term,As needed
1313,Menstrual Cramps,Abdominal cramps,Pain relief,"Mefenamic acid, Ibuprofen",1–3 days,As needed
1314,Dry Eyes,"Irritation, dryness",Lubricating drops,Carboxymethylcellulose,Ongoing,As needed
1315,Swollen Gums,"Gum enlargement, tenderness","Oral hygiene, rinse",Chlorhexidine,5–7 days,5–7 days
1316,Bad Breath,Foul odor from mouth,Oral hygiene,Mouthwash,Ongoing,As needed
1317,Sneezing Fits,Repeated sneezing,Avoid allergens,Levocetirizine,1–3 days,1–3 days
1318,Runny Nose,Watery discharge,Nasal drops,Oxymetazoline,1–3 days,3–5 days
1319,Chapped Lips,"Dry, cracked lips",Lip balm,Petroleum jelly,2–5 days,As needed
1320,Teething Pain (kids),"Irritability, gum swelling",Cold chew toys,Lidocaine gel,Until teething ends,As needed
1321,Mild Anxiety,"Restlessness, worry",Relaxation techniques,"Ashwagandha, Alprazolam",2–4 weeks,5–10 days
1322,Mild Depression,"Sadness, lack of interest","Counseling, sunlight",SSRIs (under medical guidance),Ongoing,As prescribed
1323,Gas Pain,Sharp abdominal discomfort,Avoid carbonated drinks,Simethicone,1–3 days,As needed
1324,Travel Fatigue,"Lethargy, tiredness","Rest, hydration",Electrolyte drinks,1–2 days,As needed
1325,Neck Pain,"Stiffness, soreness","Posture correction, physiotherapy",Diclofenac gel,3–5 days,3–5 days
1326,Shoulder Pain,Pain with movement,"Heat therapy, exercise",Ibuprofen,3–7 days,3–5 days
1327,Nose Congestion,Blocked nose,Steam inhalation,Xylometazoline,2–3 days,3–5 days
1328,Light Sensitivity,"Squinting, discomfort","Sunglasses, rest eyes",Artificial tears,1–2 days,As needed
1329,Ringworm,Red circular rashes,Antifungal cream,"Clotrimazole, Miconazole",2–4 weeks,2–4 weeks
1330,Cracked Fingers,Painful splits on skin,"Moisturizer, gloves",Urea cream,1–2 weeks,1–2 weeks
1331,Minor Bruises,Blue/purple marks,Ice pack,Arnica gel,2–5 days,2–3 days
1332,Insect Sting,"Swelling, itching","Cold pack, cream",Hydrocortisone,1–3 days,1–3 days
1333,Sweaty Feet,"Odor, dampness",Foot powder,Talcum powder,Ongoing,As needed
1334,Ear Wax Block,Hearing difficulty,Ear drops,Hydrogen peroxide solution,3–5 days,3–5 days
1335,Red Eyes,"Redness, itchiness",Eye drops,Naphazoline,1–3 days,1–3 days
1336,Tinnitus (mild),Ringing in ears,Avoid loud noise,Ginkgo biloba extract,2–4 weeks,2–4 weeks
1337,Stomach Ache,Cramping pain,"Antacids, rest","Drotaverine, Omeprazole",1–3 days,3–5 days
1338,Travel Constipation,Infrequent bowel movement,"Hydration, fiber",Isabgol,1–3 days,As needed
1339,Irritated Skin,"Redness, sensitivity","Moisturizers, avoid irritants",Emollient creams,3–5 days,3–5 days
1340,Dehydration,"Thirst, dry mouth","Water, ORS",ORS sachets,1–2 days,As needed
1341,Minor Sprains,"Swelling, movement pain","Ice, compression",Painkillers,3–5 days,3–5 days
1342,Body Odor,Strong smell,"Hygiene, deodorants",Antiperspirants,Ongoing,As needed
1343,Skin Tags,Painless skin growths,Cryotherapy (optional),None usually needed,Optional,—
1344,Mild Lethargy,Sluggishness,"Proper sleep, nutrition",Vitamin B12,1–2 weeks,2–4 weeks
1345,White Tongue,White coating,"Clean tongue, hydration",Antifungal (if due to thrush),3–5 days,3–7 days
1346,Puffy Face,"Swelling, puffiness",Reduce salt intake,Diuretics (only if needed),2–5 days,3–5 days
1347,Elbow Pain,Localized pain,"Rest, support",Diclofenac gel,3–5 days,3–5 days
1348,Rashes (mild),"Red, itchy skin","Avoid allergen, cream",Calamine lotion,2–5 days,2–5 days
1349,Warts,Rough skin growths,Topical solution,Salicylic acid,2–4 weeks,2–4 weeks
1350,Hyperacidity,"Heartburn, nausea","Avoid triggers, antacids","Omeprazole, Ranitidine",5–10 days,5–7 days
